DOI	Title	Authors	Abstract	Journal	Date
10.4088/JCP.18m12612	prenatal exposure to acetaminophen risk disorder nationwide study taiwan	Chen MH; Pan TL; Wang PW; Hsu JW; Huang KL; Su TP; Li CT; Lin WC; Tsai SJ; Chen TJ; Bai YM	background study have suggested significant association exists prenatal exposure to acetaminophen offspring disorder adhd risk however association ha largely been unexplored asian population generally taiwanese population specifically method study study pair child adhd code mother control pair child adhd mother matched demographic characteristic were identified taiwan longitudinal health insurance database maternal use acetaminophen wa assessed first trimester second trimester third trimester pregnancy period month pregnancy to date last menstrual cycle result logistic regression analysis adjustment demographic data gestational infection comorbid perinatal condition maternal mental health disorder indicated exposure to acetaminophen second trimester odds ratio ci both first second trimester ci trimester ci wa associated increased risk adhd offspring sensitivity analysis excluding gestational infection maternal mental health disorder confirmed association ci conclusion prenatal exposure to acetaminophen wa associated increased risk adhd offspring regardless gestational infection maternal mental health disorder additional study are necessary to clarify underlying mechanism which prenatal exposure to acetaminophen lead to neurodevelopmental risk	J Clin Psychiatry	10/09/2019
10.1038/s41591-025-03937-8	cell systemic lupus erythematosus phase trial	Feng J; Huo D; Hong R; Jin X; Cao H; Shao M; Wen R; Zhang Q; Zhang M; Fu S; Wang D; Xu H; Wei G; Cui J; Huang S; Cui D; Chang AH; Liu Z; Lu L; Lin J; Hu Y; Huang H	systemic lupus erythematosus sle remains refractory to conventional immunosuppression subset patient sle show peripheral cell bone marrow plasma cell are dominant autoantibody source motivating dual bcma targeting here report result cohort patient female one male ongoing phase trial autologous chimeric antigen receptor car cell lymphodepletion primary endpoint were toxicity dlts day adverse event week key secondary endpoint comprised attainment lupus low disease activity state lldas doris remission week vivo persistence week exploratory endpoint were duration cell depletion time to recovery kinetics immune reconstitution longitudinal change autoantibody titer serum immunoglobulin concentration therapy median range dlts occurred grade cytokine release syndrome developed patient neurotoxicity death most common grade higher adverse event were neutropenia thrombocytopenia anemia which were reversible supportive care week patient fulfilled lldas doris remission criterion multiomic analysis confirmed elimination autoreactive clone reconstitution naive cell durable downregulation signature indicating improved immune homeostasis longitudinal monitoring three patient year demonstrated sustained eradication pathogenic clone suggesting potential cure dual cell therapy demonstrates good safety promising clinical efficacy sle study support further development treatment approach patient rsle identifier	Nat Med	24/09/2025
10.1136/gutjnl-2025-335642	alleviated cell exhaustion dictate chemoimmunotherapy efficacy oesophageal squamous cell carcinoma	Xiang S; Chen Y; Wang C; Wang M; He Y; Liu Z; Zhang JL; Yang LP; Wei YF; Wu QN; Wang ZX; Xi SY; Li Z; Zhao Q; Xu RH; Wang F	background combining chemotherapy cell death improves clinical outcome oesophageal squamous cell carcinoma escc yet underlying synergistic mechanism remains obscured moreover patient still derive therapeutic benefit combination strategy highlighting need to decipher overcome resistance objective sought to investigate mechanism which chemotherapy augments response to immune checkpoint blockade elucidate factor contributing to persistent resistance patient design designed systematic investigation involving longitudinal sampling escc tissue patient treated chemotherapy monotherapy tumour microenvironment tme wa then comprehensively characterised using transcriptomics cell receptor repertoire analysis multiplex immunohistochemistry murine model result demonstrated combination therapy exerted superior antitumour efficacy mitigating immune checkpoint engagement tumour cell cell thereby preventing cell exhaustion boosting vitality identified subset tumour cell high expression which localised tumour boundary interacted myofibroblastic fibroblast inducing extracellular tme that hindered infiltration cell inhibiting significantly enhanced efficacy chemotherapy underscoring potential therapeutic target conclusion study elucidates synergistic mechanism identifies key resistance pathway underlying combination patient escc providing scientific basis refining future combination therapeutic regimen	Gut	22/09/2025
10.1038/s41418-025-01587-4	lactylation promotes ferroptosis diabetic nephropathy	Hong J; Xu H; Yu L; Yu Z; Chen X; Meng Z; Zhu J; Li J; Zhu M	diabetic nephropathy dn is primary cause renal disease worldwide recent study have revealed histone lactylation which function novel epigenetic modification is involved occurrence development complication however little is known role lactyltransferase dn synthetase wa identified novel lactyltransferase that modulates histone lactylation present study determined participates pathogenesis dn more importantly explored potential mechanism involved mouse dn model consisting synthetase heterozygote mouse wa utilized study transcriptomic lipidomic analysis combined variety molecular biological methodology were employed to elucidate potential mechanism which regulates ferroptosis dn result indicated increase expression were involved kidney dysfunction renal cell death modulation ferroptosis dn model moreover induced lipid peroxidation increasing fatty acid transcription ultimately contributing to ferroptosis induction furthermore interacted signal transducer activator transcription to jointly regulate transcription additionally treatment inhibitor fludarabine delayed dn progression addition observed modulated lactylation to regulate transcription thus triggering ferroptosis inhibition lactylation attenuated ferroptosis dn model mouse hyperglycaemic cell present study showed induced lactylation to regulate transcription thus triggering ferroptosis diabetic nephropathy model	Cell Death Differ	23/09/2025
10.1038/s41564-025-02120-6	nasal staphylococcus aureus carriage promotes depressive behaviour mouse sex hormone degradation	Xiang G; Wang Y; Ni K; Luo H; Liu Q; Song Y; Miao P; He L; Jian Y; Yang Z; Chen T; Xu K; Sun X; Shen Z; Ji C; Zhao N; He M; Pan Y; Luo Y; Hu J; Otto M; Li M	human microbiome ha pronounced impact human physiology behaviour unique anatomical connection to brain role nasal microbiome neurological disease is understudied here using human data experiment mouse show nasal staphylococcus aureus is linked to depression microbiome analysis revealed positive correlation depression score aureus abundance patient depression healthy control metabolomics nasal cavity showed decreased sex hormone estradiol testosterone patient depression versus control nasal microbiota transplant patient reproduced behaviour mouse differential abundance aureus further homology mutational analysis uncovered aureus sex enzyme dehydrogenase which degraded testosterone estradiol mouse leading to lower level dopamine serotonin murine brain finding reveal nasal commensal that influence depressive behaviour provides insight axis	Nat Microbiol	22/09/2025
10.1038/s41392-025-02391-9	mediates cell lysis detrimental inflammation panoptosis influenza virus infection	Xu Y; Zheng Y; Liu Y; Wei C; Ren J; Zuo W; Gu R; Liu H; Deng X; Liu Y; Shang X; Ge W; Li Z; Huang Y; He D; Shen X; Wang Z; Lyu C; Wang Z; Mu Y; Zhang Z; Wu H; Li H; Cao B	influenza virus iav induces panoptosis form lytic inflammatory cell death characterized concurrent activation pyroptosis necroptosis apoptosis pathway is recently identified mediator plasma membrane rupture function diversely different type cell death however little is known role panoptosis viral pneumonia here report iav infection triggered increase expression which then oligomerized mediated cell lysis infected macrophage deficiency prevented plasma membrane rupture release damp affecting progression cell death activation single panoptosis pathway wa sufficient to trigger oligomerization robust cell lysis accordingly only when panoptosis pathway were concurrently blocked could oligomerization cell death cell rupture be prevented ablation vivo also alleviated lung injury mortality furthermore revealed association upregulation poor outcome patient collectively finding indicate pivotal role immunopathology iav infection potential bioindicator disease severity prognosis viral pneumonia viral sepsis	Signal Transduct Target Ther	23/09/2025
10.1089/rej.2012.1389	protective effect ginger root extract alzheimer behavioral dysfunction rat	Zeng GF; Zhang ZY; Lu L; Xiao DQ; Zong SH; He JM	aim study wa to assess ability traditional chinese medicinal ginger root extract gre to prevent behavioral dysfunction alzheimer disease ad rat model rat ad model were established operation op which rat were treated injection amyloid aβ continuous gavage aluminum chloride day week gre wa administered to rat day learning memory were assessed rat brain section were processed immunohistochemistry hematoxylin amp amp nissl staining latency to show significant memory deficit wa shorter group that received high dose gre hg group that received low moderate dose gre lg mg lt expression superoxide dismutase sod catalase cat group wa compared to group lt rat group had lower level nuclear malondialdehyde mda expression rat group lt experiment demonstrates administration gre revers behavioral dysfunction prevents symptom rat model	Rejuvenation Res	01/04/2013
10.1038/s41586-025-09541-7	ribonucleotide incorporation mitochondrial dna drive inflammation	Bahat A; Milenkovic D; Cors E; Barnett M; Niftullayev S; Katsalifis A; Schwill M; Kirschner P; MacVicar T; Giavalisco P; Jenninger L; Clausen AR; Paupe V; Prudent J; Larsson NG; Rogg M; Schell C; Muylaert I; Lekholm E; Nolte H; Falkenberg M; Langer T	metabolic dysregulation can lead to inflammatory response imbalanced synthesis trigger release mitochondrial dna mtdna to cytosol innate immune response signalling however how nucleotide deficiency drive inflammation ha not been elucidated here show nucleotide imbalance lead to increased misincorporation ribonucleotides mtdna renal inflammation mouse model lacking mitochondrial exonuclease various tissue aged mouse cell lacking mitochondrial protease similarly reduced deoxyribonucleotide synthesis increase ribonucleotide content mtdna senescent cell lead to mtdna release cytosol activation secretory phenotype sasp which can be suppressed exogenously added deoxyribonucleosides result highlight sensitivity mtdna to aberrant ribonucleotide incorporation show imbalanced nucleotide metabolism lead to inflammatory response sasp senescence	Nature	24/09/2025
10.1038/s41392-025-02390-w	spatiotemporal analysis uncovers immunosuppressive niche triggering early gastric cancer	Gao P; Zuo C; Yuan W; Cai J; Chai X; Gong R; Yu J; Yao L; Su W; Liu Z; Lin S; Wang Y; Cai M; Ma L; Li Q; Zhou P	understanding cellular origin early evolutionary dynamic that drive initiation carcinogenesis is critical to advancing early detection prevention strategy characterizing key molecular cellular niche event precancerous tipping point early gastric cancer egc aimed to develop more precise screening tool design targeted intervention to prevent malignant transformation stage utilized ai model to integrate spatial multimodal data nine egc endoscopic submucosal dissection esd sample covering sequential stage normal to cancer construct profile disease progression identify critical tipping point characterized microenvironment early cancer development stage inflammatory pit mucous cell stemness interact fibroblast nampt macrophage areg signaling fostering cancer initiation established gastric precancerous cell line organoids to demonstrate nampt areg promote cellular proliferation vitro furthermore transgenic mouse model targeting areg nampt disrupted key cell interaction inhibited mapk nfκb pathway reduced expression which wa also confirmed western blot vitro intervention delayed disease progression reversed immunosuppressive microenvironment prevented malignant transformation clinical validation wa conducted using endoscopically resected egc specimen study provides precise spatiotemporal depiction egc development identifies novel diagnostic marker therapeutic target early intervention	Signal Transduct Target Ther	22/09/2025
10.1136/jitc-2025-012230	mvp upregulation boost immunotherapy resistance inhibiting degradation hepatocellular carcinoma	Liu S; Pan Y; Liu W; Bu X; Shao R; Wang Q; Wu J; Wu C; Hu W; Xu J; Wu C; Jiang J	background hepatocellular carcinoma hcc is prevalent malignancy third leading cause mortality worldwide immune checkpoint inhibitor icis have emerged therapy advanced hcc substantially improving clinical outcome however resistance to icis remains major therapeutic challenge lactylation recently identified modification ha been implicated tumor progression role icis resistance hcc remains unclear method cytotoxicity assay flow cytometry orthotopic hcc mouse model were used to evaluate effect lactylation remodeling immune microenvironment chromatin immunoprecipitation sequencing rna sequencing were employed to identify gene profile programmed cell protein degradation wa assayed analysis ubiquitination assay interaction major vault protein mvp protein were analyzed experiment mutagenesis truncation mutant were designed to determine binding site complex result elevated lactylation correlate poor prognosis icis resistance patient hcc inhibition lactylation enhances infiltration cytokine production multiomics analysis identify mvp factor that suppresses antitumor immunity elevated mvp expression is associated resistance to checkpoint blockade therapy mechanistic study reveal histone mvp upregulation stabilizes preventing proteasomal degradation pharmacological inhibition lactylation restores icis sensitivity orthotopic hcc mouse model conclusion finding demonstrate histone lactylation promotes icis resistance stabilization therefore targeting lactylation combination programmed cell death blockade offer promising strategy to overcome immunotherapy resistance hcc	J Immunother Cancer	21/09/2025
10.1097/JS9.0000000000003476	polyethylene terephthalate microplastics exposure enhances risk ulcerative colitis insight integration machine learning molecular docking reveal intestinal toxicity mechanism	Yang X; Yan B; Zhao Y; Zhou L; Liu M; Chen G; Shen L; Deng T	background recent decade widespread use polyethylene terephthalate pet ha led to proliferation pet microplastics environment posing potential threat to human health including ulcerative colitis uc however underlying molecular mechanism remain unclear method data sourced public database were harnessed to predict target identify differentially expressed gene functional enrichment analysis were conducted to uncover relevant biological pathway three machine learning algorithm were utilized to screen hub gene associated uc followed evaluation hub gene using eight machine learning algorithm shap analysis subsequently nomogram wa constructed validated based risk prediction model sequencing analysis molecular docking were performed animal model wa established dextran sulfate sodium ds western blot analysis wa employed to verify protein expression level intestinal tissue result eleven potential target related to uc toxicity were identified four hub gene ctsk naaa were successfully screened out exhibiting significant expression disparity uc sample constructed risk prediction model demonstrated high prediction accuracy analysis revealed distinct expression pattern hub gene different cell type molecular docking confirmed strong binding affinity gene animal experiment revealed expression level ctsk ds group were significantly upregulated expression level naaa wa significantly downregulated compared ds group conclusion study offer valuable insight molecular mechanism which may induce uc providing theoretical foundation understanding potential health risk associated exposure	Int J Surg	22/09/2025
10.1038/s41586-025-09500-2	is receptor encephalitis virus	Mittler E; Tse AL; Tran PT; Florez C; Janer J; Varnaite R; Kasikci E; Mv VK; Loomis M; Christ W; Cazares E; Bakken RR; Martin CK; Zeng X; Raymond JL; Shahsavani M; Khanal S; Wilkinson ER; Oktavia RM; Slough MM; Haslwanter D; Han J; Berrigan J; Rosendal E; Kielian M; Manicassamy B; Överby AK; Falk A; Barba-Spaeth G; Rey FA; Klingström J; Gavathiotis E; Herbert AS; Chandran K; Gredmark-Russ S	encephalitis virus tbev cause encephalitis tbe severe sometimes disease characterized viral invasion central nervous system symptom neuroinflammation other rna factor required tbev entry remain poorly defined here used screen to identify apolipoprotein reelin receptor high expression brain tbev receptor downregulation reduced tbev infection human cell overexpression enhanced infection bound directly to tbev glycoprotein mediated viral attachment internalization cell soluble decoy blocked infection human cell line neuronal cell protected mouse lethal tbev challenge role tbev receptor ha implication tbev neuropathogenesis development antiviral countermeasure	Nature	24/09/2025
10.1038/s41586-025-09507-9	systematic discovery car cell immunotherapy	Datlinger P; Pankevich EV; Arnold CD; Pranckevicius N; Lin J; Romanovskaia D; Schaefer M; Piras F; Orts AC; Nemc A; Biesaga PN; Chan M; Neuwirth T; Artemov AV; Li W; Ladstätter S; Krausgruber T; Bock C	chimeric antigen receptor car cell therapy ha shown remarkable success treating blood cancer car cell dysfunction remains common cause treatment failure here present cellfie crispr screening platform enhancing car cell multiple clinical objective performed screen human primary car cell readout capturing key aspect cell biology including proliferation target cell recognition activation apoptosis fratricide exhaustion screening hit were prioritized using new vivo method xenograft model human leukaemia establishing several gene knockout that boost car cell efficacy most notably discovered rhog knockout is potent unexpected car cell enhancer individually together fa knockout which wa validated multiple vivo model car design sample donor cell demonstrating versatility cellfie platform also conducted combinatorial crispr screen to identify synergistic gene pair saturation screen to characterize rhog variant summary discovered validated biologically characterized car cell that outperform standard car cell widely used benchmark establishing foundational resource optimizing immunotherapy	Nature	24/09/2025
10.1038/s41586-025-09489-8	vivo crispr screen identify modifier car cell function myeloma	Knudsen NH; Escobar G; Korell F; Kienka T; Nobrega C; Anderson S; Cheng AY; Zschummel M; Armstrong A; Bouffard A; Kann MC; Goncalves S; Pope HW; Pezeshki M; Rojas A; Suermondt JSMT; Phillips M; Berger TR; Park S; Salas-Benito D; Darnell EP; Birocchi F; Leick MB; Larson RC; Doench JG; Sen D; Yates KB; Manguso RT; Maus MV	chimeric antigen receptor car cell are highly effective haematological malignancy however progressive loss car cell contributes to relapse many patient here performed vivo crispr screen car cell targeting cell maturation antigen to investigate gene that influence car cell persistence function human multiple myeloma model tracked expansion persistence crispr cell vitro early late time point vivo to track performance car cell manufacturing to survival tumour screen revealed regulator car cell expansion persistence ablation enhanced cell expansion vitro whereas loss conferred early growth advantage to car cell vivo notably identified kinase inhibitor encoded cell cycle regulator most important factor limiting car cell fitness late time point vivo ablation increased car cell proliferation effector function significantly enhancing tumour clearance overall survival finding reveal differing effect gene perturbation car cell time different environment highlight promising target to generate highly effective car cell multiple myeloma potential vivo screening identifying gene to enhance car cell efficacy	Nature	24/09/2025
10.1038/s41418-025-01580-x	induction ferroptosis prostate cancer ubiquitination	Cheng B; Wang Q; Li Z; Luo T; Xie J; Singh S; Luo Y; Gao X; Li H; Wang Z; Wu P; Huang H	prostate cancer is one most prevalent malignancy men increasing incidence mortality largely attributed to treatment resistance metastasis effectiveness current therapy advanced case is hindered intricate genetic microenvironmental factor emphasizing urgent need novel therapeutic target chimeric rna have emerged promising biomarkers cancer research which circular chimeric rna is frequently identified prostate cancer study reveals that expression is markedly reduced advanced recurrent prostate cancer where low level serve independent predictor poor prognosis functional experiment demonstrate overexpression inhibits cell proliferation induces apoptosis suppresses tumor growth vivo knockdown revers effect mechanistically encodes novel protein which trigger ferroptosis interacting facilitating ubiquitination degradation notably treatment recombinant effectively suppresses tumor growth xenograft model toxicity enhances efficacy docetaxel enzalutamide vitro finding establish significant prognostic marker potential therapeutic target prostate cancer recombinant protein offering promise combination therapy advanced case	Cell Death Differ	22/09/2025
10.1016/j.cmet.2025.08.010	hepatic metabolism modulates neuroinflammation depression susceptibility acetate	Cao Y; Zhao Y; Deng T; Zhou Q; Hu G; Hu ZL; Jiang YY; Yang XH; Wang F; Wu PF; Chen JG	extensive research highlight impaired brain energy metabolism neuropsychiatric disorder whereas much less is known role peripheral metabolic state liver is metabolic hub herein demonstrate hepatic hydrolysis central metabolic intermediate signal brain help buffer stress using chronic social defeat stress paradigm male mouse observed hepatic metabolic switch followed transcription hydrolase thioesterase to confer stress vulnerability hepatic overexpression thioesterase alleviated phenotype increasing acetate output to promote histone acetylation ventral hippocampus which bolstered expression programmed cell death ligand astrocyte limiting neuroinflammation rescuing inhibitory synaptic transmission dysfunction finding demonstrate hepatic hydrolysis serf key axis component that regulates depression susceptibility	Cell Metab	23/09/2025
